,foreigns,EU,length of residence 0-10 years,name,year,Permanent resident population
913,0.1525690081514451,0.1210195852400475,0.4103813693259606,Bubikon,2023,6366.539177486233
914,0.2464646439268827,0.1914893783597231,0.4138462684744013,Buchrain,2023,5478.989207852475
915,0.3891659389132882,0.2980430156921203,0.4814950486860084,Buchs (AG),2023,6859.442881135095
916,0.4760296403991051,0.4168367350641773,0.453012882879678,Buchs (SG),2023,10811.775104072707
917,0.2965742303931821,0.2523500101222773,0.4449903429010817,Buchs (ZH),2023,5857.797416656929
918,0.4588115594493935,0.3863476509515641,0.5243428709451295,Bulle,2023,22370.24874421751
919,0.1901349538268094,0.1558053236655569,0.3554704465766222,Buochs,2023,4798.59227620891
920,0.2250751651340705,0.1640898940686302,0.4141932699053844,Burgdorf,2023,13076.783114960124
921,0.405773239841903,0.3512680351723776,0.5190050290798558,Bussigny,2023,9319.76059543628
922,0.1552678676503764,0.1277084363083128,0.3949255048785427,Bäretswil,2023,4047.223863691
923,0.3226765115550368,0.2803185623230289,0.5215944114228969,Bülach,2023,21459.23999710644
924,0.1855965503446573,0.1611305898767881,0.4004184203589717,Bütschwil-Ganterschwil,2023,3890.342649679482
925,0.1538415043317391,0.1338465832950618,0.3426740552982967,Capriasca,2023,4928.973376196928
926,0.3741062655538324,0.2787956413389555,0.4743419048818325,Carouge (GE),2023,21602.65476737609
927,0.2819544992132829,0.2294586576443464,0.4415898698610254,Cham,2023,16831.987008290424
928,0.5698794851531178,0.4390353470957863,0.5823597162111291,Chavannes-près-Renens,2023,8079.444164728724
929,0.2914777132601871,0.2357752178101348,0.5148774844347092,Chavornay,2023,4109.967633293625
930,0.4512679707697967,0.3775223351522179,0.423518058005595,Chiasso,2023,7252.684988701372
931,0.2522193302674317,0.1912760220318564,0.3789474945616374,Chur,2023,34454.37156380371
932,0.3485643289727584,0.3137901620535738,0.5259222979328253,Châtel-Saint-Denis,2023,6548.519692425515
933,0.3771710761301667,0.2849905375696011,0.5968186831131204,Chêne-Bougeries,2023,11652.779441818451
934,0.4094623827220955,0.3012667575990706,0.5454209494522587,Chêne-Bourg,2023,9086.430606216867
935,0.4007882573447576,0.3398560906748152,0.4839739201526741,Collina d'Oro,2023,3786.631895034423
936,0.3158194633550227,0.2866488784297242,0.4912982071139565,Collombey-Muraz,2023,7457.725484111041
937,0.3059253844117863,0.2476949472678202,0.5098527540190668,Collonge-Bellerive,2023,6451.408684700105
938,0.3664882770013642,0.2807557696554939,0.5871440802716362,Cologny,2023,4796.093389579668
939,0.2069137245634314,0.1642655102667998,0.4253536522504154,Confignon,2023,3889.509473804796
940,0.3045458105754092,0.2523287505432759,0.4519888364507428,Conthey,2023,7184.264356169956
941,0.2341170379614254,0.2015539058776861,0.438526267208548,Cortaillod,2023,3561.6059091278767
942,0.4376289215735576,0.3776691758262446,0.4624497255287421,Courtepin,2023,3476.342516316863
943,0.4118979447662013,0.3318494764703523,0.5284969173887316,Crans-Montana,2023,7324.840083948708
944,0.4389198644614275,0.3619173055015635,0.5345025429476412,Crissier,2023,8134.369321448003
945,0.2014893416716589,0.1821437219686595,0.3790566880194521,Dagmersellen,2023,4226.991251886419
946,0.3199133696965131,0.2793594185947849,0.3865401612664008,Davos,2023,8974.331600313986
947,0.3295468560666706,0.2160679734448866,0.4100198121981088,Delémont,2023,10368.387291942636
948,0.3635761716577547,0.302934424132803,0.4755110521027336,Derendingen,2023,4645.075834695437
949,0.3795994988245382,0.3292308190834648,0.4831498388391872,Dielsdorf,2023,5276.30084096959
950,0.2965793265297402,0.2709243014466204,0.3824044040740956,Diepoldsau,2023,5607.480267462888
951,0.496040382833512,0.4187111631854744,0.4542895872269165,Dietikon,2023,26475.738241332547
952,0.2910841691296952,0.2411963725732477,0.4227046444109503,Dietlikon,2023,7217.636772810676
953,0.255342192471138,0.2205299626524326,0.3765264441392624,Domat/Ems,2023,6275.343704236133
954,0.294022490198946,0.2360403068679217,0.4392760332600918,Dornach,2023,5818.609580805612
955,0.5070639497403047,0.4553208406541352,0.4543255260641061,Dulliken,2023,3993.811393641815
956,0.3818539962492434,0.317704355137437,0.4996204336342791,Dübendorf,2023,28027.983749539097
957,0.2043223101080425,0.1718507965023307,0.3913978355666445,Düdingen,2023,6037.101136479809
