,Financials - Number of employees,Financials - Number of workplaces,Number of workplaces,Materials - Number of employees,Materials - Number of workplaces,Consumer Staples - Number of employees,Consumer Staples - Number of workplaces,Communication Services - Number of employees,Communication Services - Number of workplaces,Industrials - Number of employees,Industrials - Number of workplaces,Consumer Discretionary - Number of employees,Consumer Discretionary - Number of workplaces,Energy - Number of employees,Energy - Number of workplaces,Utilities - Number of employees,Utilities - Number of workplaces,Real Estate - Number of employees,Real Estate - Number of workplaces,Information Technology - Number of employees,Information Technology - Number of workplaces,Health Care - Number of employees,Health Care - Number of workplaces,Number of employees,Number of workplaces with <50 employees,Number of workplaces with ≥50 and <250 employees,Number of workplaces with ≥250 employees,name,year
3053,0.013140345386750067,0.017202339160631595,1167.1653566235645,0.31243925287007046,0.3520910258518208,0.33861315180764107,0.3626395995106591,0.012575508900480706,0.020562639101479523,0.03615458808888203,0.0445523847198723,0.07217466581678411,0.0768899541987843,0.0,0.0,0.0,0.0,0.14456465699069146,0.02732905303172332,0.010080183323896704,0.01648244801911094,0.06025764681480338,0.0822505564059181,1908.4714733956084,0.7088019533774087,0.013708426067653014,0.0,Vechigen,2021
3054,0.013326356812297206,0.023611302794875014,5568.854122566085,0.4578361957686176,0.4463439184634456,0.1708908290761071,0.15313379742773656,0.012653591587016524,0.024723509708990756,0.05909434485651011,0.07933284624352413,0.06728225280538735,0.12136712846401312,0.0655262477159644,0.001436561242928314,0.006999199461141675,0.003591403107320785,0.03671520930738828,0.02574730342246028,0.04288285127966726,0.0342224184778796,0.06679292132990244,0.08648981064682588,23288.377607317427,0.9503296074120459,0.040331844509319946,0.005028864349849247,Vernier,2021
3055,0.021667150067124597,0.0357258392793157,2461.3481556182296,0.4394861464985887,0.4215683449874545,0.1556262574387034,0.14982804246760872,0.014072159472942247,0.02614300834361132,0.041383831050920465,0.04172558978624014,0.098203123779778,0.1171873817757795,0.0007923618607647337,0.0016779244032265293,0.0038371441963814226,0.00325025128271242,0.07029491452062525,0.035099395204022284,0.03069715357105138,0.02925226154441178,0.12393975754311995,0.1385419609256169,5212.209647701221,0.9603966143849797,0.01816639358401257,0.00162512564135621,Versoix,2021
3056,0.04839574928739562,0.03454554248098377,5086.543801223577,0.4241495246532744,0.37121236654599404,0.16758579200748114,0.1626637322735673,0.026899826824384243,0.059685968774794027,0.013797770607676117,0.02468015598994557,0.13559440408229634,0.14731803160378015,0.0009224487294031739,0.0007863885884631117,0.0017062071319129516,0.002278551905589223,0.03961869097832582,0.030520166355236626,0.01929447322352695,0.03331060996318348,0.12203511247432333,0.13299848551846286,16261.066357265221,0.9678878157390468,0.02688612838650546,0.003609230882709351,Vevey,2021
3057,0.019682919533657688,0.03289367979150976,1836.011558696876,0.3515427111108353,0.44523831634112687,0.12703031963048114,0.15112963329599302,0.022811223391095,0.04162401758290418,0.011682118808201086,0.019909745821743482,0.05736986480684005,0.07254607897565436,0.0,0.0,0.0011345737769411438,0.0021786355216843146,0.2371908504298077,0.049957261795089615,0.019429201024610918,0.030772506841331,0.15212621748752994,0.15375012403296331,3525.553014969339,0.9732067869824742,0.010785605869725942,0.0021786355216843146,Veyrier,2021
3058,0.0520397306962616,0.03885725732840583,2280.612562192881,0.22351335107609788,0.38135511371619546,0.12270911997350069,0.13420502895447528,0.030140344284916302,0.04450027326758771,0.023655564867601446,0.043666573535781496,0.05649202658021714,0.10830846833941807,0.0,0.0,0.0007956307774999047,0.003507829489594562,0.06485839283389297,0.03629858970293356,0.07376262101284696,0.04796365398020223,0.35203321789716524,0.16133721168540577,11311.779602443896,0.9418428771922839,0.04238257227622411,0.010523488468783686,Villars-sur-Glâne,2021
3059,0.0045983005279559295,0.012314820492519963,1299.2475212869258,0.2906239783320513,0.3611626012954745,0.3454795224935935,0.2457398218473438,0.006897450791933895,0.018472230738779943,0.1658262127894107,0.07081021783198978,0.08411226752379017,0.15500064674864905,0.0,0.0,0.02081586672595295,0.012158876521413613,0.027877196950732822,0.036944461477559885,0.01571155086007761,0.028992989751259853,0.03805765300450105,0.05840333329500977,3479.5463895250095,0.9380616043482245,0.021550935861909933,0.0030787051231299907,Villeneuve (VD),2021
3060,0.012636946108171334,0.01686742626798568,1747.671653836739,0.40302782884851296,0.3942502993087263,0.15596650327144715,0.21911039583548506,0.04212658452130419,0.02645780843608697,0.10185984963219924,0.07350694668538656,0.07011768132281058,0.12692346181791947,0.006885942880518475,0.004577518884875917,0.0,0.0,0.02893407402373265,0.029876806670400397,0.03265232221993556,0.03212456780844381,0.1457922671713677,0.07630476828468939,5228.042204917243,0.9119126260041646,0.026624065930313776,0.004284823580485335,Villmergen,2021
3061,0.008316525267086775,0.007387028776160467,1082.9794011115434,0.2792601722253669,0.34719036934275094,0.28654743089418866,0.28427769927805724,0.005252542273949542,0.011080543164240701,0.03914210850010445,0.029690608698959533,0.12848295593399353,0.16218791261597734,0.0043771185616246185,0.0036935143880802335,0.0035016948492996944,0.007387028776160467,0.07688671073622301,0.04031100955547989,0.10286228619817853,0.04801568704504303,0.06537045455998436,0.05877859835909009,2284.6079810751994,0.8305431935030004,0.029221394645088935,0.0,Vilters-Wangs,2021
3062,0.017134232922388373,0.028651522998562436,2373.346785209702,0.5730410855874133,0.3836727360434815,0.10945211107310912,0.215443823030297,0.011473142749793096,0.03370767411595581,0.025286202770925574,0.04044920893914697,0.04781398112283887,0.13797203196696703,0.007999493838134442,0.0054690478986420595,0.001811548855230489,0.0067415348231911615,0.039703112410468214,0.04213459264494476,0.07706630754959705,0.025280755586966856,0.08921878112010158,0.08047707195184449,13248.331631081739,0.9273924460360657,0.0353930578217536,0.0067415348231911615,Visp,2021
3063,0.006639249739022085,0.018044690205202746,4302.001405990862,0.426953230115086,0.4305971114168493,0.25580957141735644,0.17759369273331457,0.030845581155462903,0.03823524947229647,0.04803025670667326,0.041636936974035,0.092091944152302,0.1381753223788124,0.0,0.0,0.0030656268540446953,0.007438398312803335,0.020497500782898023,0.030556795662970114,0.07994934807643346,0.043967587760399524,0.03611769100072127,0.07375421508331617,13047.90240443817,0.9419556395986994,0.02922056693918747,0.0055787987346025015,Volketswil,2021
3064,0.009109371585613322,0.01769058320594098,1515.896994667565,0.29338009602248377,0.2962105591428415,0.3049299414702479,0.2992542643605258,0.01646931143095567,0.03198373471491886,0.09201604142896853,0.036917627118911646,0.10161511653445769,0.16918242979663378,0.0,0.0,0.019701739346198233,0.021109613722149752,0.07168547352939045,0.0376246182769733,0.012228665801088558,0.018470912006881033,0.07886424285059604,0.07155565765422321,2943.9025144341904,0.8345406829194416,0.021051854013897104,0.0,Vétroz,2021
3065,0.009819549839768588,0.009879238168081214,2429.3371200971237,0.34583270792566034,0.36575109368955644,0.16787347655882498,0.24631981129498248,0.025312617364736806,0.047749651145725866,0.06638047677357467,0.042892962423284026,0.08583043197114641,0.1231649087340198,0.007419215434491823,0.0016465396946802023,0.005455305466538105,0.006586158778720809,0.11565247589060783,0.03128425419892384,0.014838430868983645,0.026344635114883237,0.15558531190566677,0.09838074675714209,4582.694801115291,0.8738235722644748,0.009879238168081214,0.0016465396946802023,Wald (ZH),2021
3066,0.018514963450219104,0.008689000449279664,1381.0564368189007,0.271146445298111,0.3609739601860292,0.1465491884619414,0.2508133502366134,0.014242279577091618,0.028963334830932212,0.07285545644550895,0.049758173440237044,0.1229909101178932,0.14052417535145423,0.0028484559154183238,0.005792666966186443,0.014598336566518908,0.005792666966186443,0.07134756403339328,0.038631999215539205,0.018871020439646394,0.020274334381652548,0.2460353796942577,0.08978633797588986,2808.53916562199,0.8549880730180557,0.011585333932372885,0.0028963334830932213,Walenstadt,2021
