name,year,100k,1M,200k,500k,50k,>1M
Winterthur,2020,4.88487349537037,33.69824029513889,11.611480481150794,22.237828559027776,1.0718394923941799,36.5528209375
Winterthur,2021,4.943049834656084,34.00629984375,11.735566517857142,22.437489236111112,1.0839136078042328,36.895668906249995
Winterthur,2022,4.922835218253969,33.89997121527777,11.693056250000001,22.367758420138887,1.0800960234788362,36.77802325
Winterthur,2023,4.9113406084656095,34.05866963541666,11.615898859126984,22.358893576388887,1.0783692129629632,36.98038628125
Winterthur,2024,4.6259915343915345,33.84958458333334,11.224861259920633,21.939124479166665,0.9892902199074073,36.86007256250001
Wittenbach,2010,5.964815062830688,27.443021180555554,13.463347842261904,22.30510642361111,1.0076668733465608,27.995660177083334
Wittenbach,2011,5.775269742063492,27.32932322916667,12.955287053571428,21.865871093750002,0.9922343749999999,27.963730697916667
Wittenbach,2012,6.014962417328043,28.086239739583334,13.396830381944445,22.498993229166665,1.037312996031746,28.739865802083333
Wittenbach,2013,6.496664417989416,29.61316423611111,14.353516741071427,23.837798003472223,1.1227041997354497,30.292221208333334
Wittenbach,2014,6.61698255621693,29.87445203125,14.592687003968255,24.15722265625,1.1440436507936507,30.513485656249998
Wittenbach,2015,6.61698255621693,29.874310364583334,14.59279771825397,24.15722265625,1.1440436507936507,30.513485656249998
Wittenbach,2016,6.617343667328042,29.875725260416665,14.58283162202381,24.138570833333333,1.1461848544973545,30.52168854166667
Wittenbach,2017,6.617343667328042,29.875725260416665,14.58283162202381,24.138570833333333,1.1461848544973545,30.52168854166667
Wittenbach,2018,6.472938508597884,29.419422708333332,14.295917038690476,23.737405034722222,1.1206064401455027,30.05838940625
Wittenbach,2019,6.311937698412699,29.108806128472224,14.04477023809524,23.43837022569444,1.0998526785714284,29.749379895833332
Wittenbach,2020,5.975946445105819,28.887826649305556,13.715166865079365,23.15563628472222,0.9564222056878307,29.54564083333333
Wittenbach,2021,5.969548958333334,28.87899029513889,13.70782048611111,23.1465796875,0.9564222056878307,29.53749566666667
Wittenbach,2022,5.856214864417989,28.49999873263889,13.47447170138889,22.81567074652778,0.9377584738756614,29.15216878125
Wittenbach,2023,5.6218875,27.860948246527776,12.929956671626984,22.134032552083333,0.8991791087962961,28.53745528125
Wittenbach,2024,5.290791732804233,27.833621145833334,12.533280877976189,21.876073437499997,0.7985073164682539,28.537141875
Wohlen (AG),2010,7.439668187830688,31.389580520833334,14.719948710317462,23.68583263888889,1.5326640625,33.3135145625
Wohlen (AG),2011,7.247798974867726,31.264278107638887,14.211075024801588,23.237098090277776,1.5128784722222222,33.27559535416667
Wohlen (AG),2012,7.247263045634921,31.25770338541667,14.17407690972222,23.200809722222225,1.5142808779761905,33.275551729166665
Wohlen (AG),2013,7.247263045634921,31.25770338541667,14.17407690972222,23.200809722222225,1.5142808779761905,33.275551729166665
Wohlen (AG),2014,6.020337632275132,30.75127503472222,13.076768501984128,22.46367847222222,1.1112723214285714,32.83952563541666
Wohlen (AG),2015,5.896590509259259,30.48478138888889,12.791058432539682,22.169886284722224,1.094309275793651,32.58705557291667
Wohlen (AG),2016,5.897090509259259,30.486319496527777,12.779998611111111,22.15225920138889,1.0995754794973545,32.59582440625
Wohlen (AG),2017,5.897090509259259,30.486319496527777,12.779998611111111,22.15225920138889,1.0995754794973545,32.59582440625
Wohlen (AG),2018,5.897322222222222,30.48632420138889,12.78005927579365,22.15229175347222,1.0995369957010583,32.5958244375
Wohlen (AG),2019,5.883288095238095,30.48081708333333,12.759762599206349,22.13642951388889,1.0969071593915345,32.59569339583333
Wohlen (AG),2020,5.893416848544973,30.691541631944446,12.813836830357143,22.259609722222223,1.0937179646164021,32.84040859375
Wohlen (AG),2021,5.890787681878307,30.68177265625,12.809954017857143,22.250762673611113,1.0937179646164021,32.83134596875
Wohlen (AG),2022,5.595817162698412,30.654107899305558,12.590530729166668,22.134246788194446,0.9507103587962963,32.83070446875
Wohlen (AG),2023,5.372133531746032,30.749320069444444,12.298483730158729,21.973729340277778,0.8924764384920634,33.0101498125
Wohlen (AG),2024,5.283255224867725,30.977963055555556,12.20637867063492,21.994358420138887,0.8560536954365079,33.3096776875
Wohlen bei Bern,2010,9.678511904761905,35.75392116319445,17.02848700396825,26.960073958333332,2.374071056547619,37.814248354166665
Wohlen bei Bern,2011,9.234798776455026,35.55172592013889,16.279918328373014,26.295203559027776,2.208804976851852,37.769757312500005
Wohlen bei Bern,2012,8.898593154761905,35.458571336805555,15.800699751984126,25.90814965277778,2.142317294973545,37.767740062499996
Wohlen bei Bern,2013,8.649263640873016,35.43642394097222,15.639959300595237,25.81597109375,2.0987539269179893,37.7672355625
Wohlen bei Bern,2014,8.649263640873016,35.288360868055555,15.639959300595237,25.79899296875,2.0987539269179893,37.561684552083335
Wohlen bei Bern,2015,8.650521974206349,35.28818586805556,15.639487872023809,25.798524218749996,2.0987539269179893,37.561684552083335
Wohlen bei Bern,2016,8.652219890873017,35.28994755208333,15.627309151785713,25.77898862847222,2.1023543320105818,37.571790979166664
Wohlen bei Bern,2017,8.652219890873017,35.28994755208333,15.627309151785713,25.77898862847222,2.1023543320105818,37.571790979166664
Wohlen bei Bern,2018,8.652219890873017,35.28994755208333,15.627309151785713,25.77898862847222,2.1023543320105818,37.571790979166664
Wohlen bei Bern,2019,8.656637450396826,35.28978755208333,15.627684151785715,25.77796779513889,2.1024480820105818,37.571790979166664
Wohlen bei Bern,2020,8.62450484457672,35.22685552083333,15.579301041666668,25.716083506944443,2.091988673941799,37.5096915
Wohlen bei Bern,2021,8.558907060185184,35.02442637152778,15.472420560515873,25.56112248263889,2.075742642195767,37.293342395833335
Wohlen bei Bern,2022,8.558907060185184,35.02442637152778,15.472420560515873,25.56112248263889,2.075742642195767,37.293342395833335
Wohlen bei Bern,2023,8.551736259920634,35.185480902777776,15.395614880952381,25.5559046875,2.0773459821428575,37.498459249999996
Wohlen bei Bern,2024,8.297784391534393,35.124285138888894,15.135241071428574,25.328560850694444,1.9605003720238094,37.4973738125
Wollerau,2010,2.738261937830688,16.794907586805557,6.8516342013888885,12.92250390625,0.5145484457671957,17.250709666666665
Wollerau,2011,2.456618402777778,16.471122395833333,6.251662772817459,12.332268055555556,0.4667060598544973,16.9974138125
Wollerau,2012,2.4519998842592594,16.46456454861111,6.215054241071428,12.296214062499999,0.4647701719576719,16.997373500000002
Wollerau,2013,2.4519998842592594,16.46456454861111,6.215054241071428,12.296214062499999,0.4647701719576719,16.997373500000002
Wollerau,2014,2.4881160714285717,16.399349166666667,6.237548214285714,12.297943229166666,0.47413430059523803,16.90498753125
Wollerau,2015,2.7825254464285716,18.942503524305558,6.801794072420634,13.28293671875,0.534266369047619,19.577186614583333
Wollerau,2016,3.0567483961640214,20.03863295138889,7.319568278769841,14.01875,0.5914021164021162,20.71771265625
